Player,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-,,Source:,https://nextgenstats.nfl.com/stats/receiving/2019/REG/all#yards
Michael Thomas,NO,WR,5.2,2.6,8.1,41.34,149,185,80.54,1725,9,4.1,3.4,0.7,,,
Julio Jones,ATL,WR,5.6,2.2,12.3,35.92,99,157,63.06,1394,6,3.7,2.8,0.8,,,
Chris Godwin,TB,WR,6.6,2.8,10.4,19.69,86,121,71.07,1333,9,7.1,4.6,2.4,,,
Travis Kelce,KC,TE,5.4,3.1,9.3,26.99,97,136,71.32,1229,5,4.5,3.8,0.7,,,
DeVante Parker,MIA,WR,5,2.1,13.8,33.11,72,128,56.25,1202,9,4.2,3.5,0.7,,,
Keenan Allen,LAC,WR,5.4,2.7,10,30.38,104,149,69.8,1199,6,3.7,3.6,0.1,,,
Kenny Golladay,DET,WR,5.3,1.9,15.4,33.67,65,116,56.03,1190,11,4.9,4.2,0.7,,,
Amari Cooper,DAL,WR,5.4,2.6,12.8,28.66,79,119,66.39,1189,8,3.3,3.6,-0.4,,,
D.J. Moore,CAR,WR,5.3,2.6,11.1,30.19,87,135,64.44,1175,4,4.8,4,0.8,,,
Jarvis Landry,CLE,WR,5.7,2.6,9.8,29.93,83,138,60.14,1174,6,5.5,3.9,1.6,,,
DeAndre Hopkins,HOU,WR,5,2.7,10.3,34.37,104,150,69.33,1165,7,3.9,4,-0.1,,,
Cooper Kupp,LAR,WR,6.3,3.4,7.2,20.37,94,134,70.15,1161,10,6,4.7,1.2,,,
Mike Evans,TB,WR,5.3,2.4,15.3,28.34,67,118,56.78,1157,8,4.3,4,0.3,,,
Allen Robinson,CHI,WR,5.1,2.2,11.1,39.2,98,154,63.64,1147,7,3.1,3.3,-0.2,,,
Darren Waller,LV,TE,5.4,3.1,7.2,26.69,90,117,76.92,1145,3,6.9,5.6,1.3,,,
Robert Woods,LAR,WR,7.3,3.4,8.1,23.69,90,139,64.75,1134,2,6.7,5.6,1.1,,,
Stefon Diggs,MIN,WR,4.6,2.5,14.9,41.27,63,94,67.02,1126,6,5.1,4.2,0.9,,,
Julian Edelman,NE,WR,5.7,2.8,9.2,31.74,100,153,65.36,1117,6,3.5,3.9,-0.3,,,
Courtland Sutton,DEN,WR,5.1,2.5,11.8,42.93,72,124,58.06,1112,6,5.2,3.7,1.5,,,
Michael Gallup,DAL,WR,5.6,2.2,12.6,26.7,66,113,58.41,1107,6,5.4,3.8,1.5,,,
John Brown,BUF,WR,4.6,2.4,14.2,36.14,72,115,62.61,1060,6,3.1,3,0.1,,,
Tyler Lockett,SEA,WR,6.3,3.2,12.8,30.09,82,110,74.55,1057,8,4,4.7,-0.7,,,
George Kittle,SF,TE,5.2,3.3,5.7,20.19,85,107,79.44,1053,5,7.5,5.8,1.7,,,
A.J. Brown,TEN,WR,5,2.2,13.4,29.8,52,84,61.9,1051,8,8.8,4.1,4.7,,,
Tyler Boyd,CIN,WR,5.5,2.6,9.2,28.46,90,148,60.81,1046,5,4.2,3.8,0.4,,,
Odell Beckham,CLE,WR,5.5,2.6,13.3,39.01,74,133,55.64,1035,4,4.6,3.7,0.9,,,
D.J. Chark,JAX,WR,6.5,2.8,11.9,33.1,73,118,61.86,1008,8,4.4,3.8,0.6,,,
Mike Williams,LAC,WR,5.2,2,17.4,31.76,49,90,54.44,1001,2,4.8,3.4,1.4,,,
Davante Adams,GB,WR,5.6,3.2,10,26.56,83,127,65.35,997,5,5,4.2,0.8,,,
Terry McLaurin,WAS,WR,5.2,2.1,14.1,37.09,58,93,62.37,919,7,3.9,2.6,1.3,,,
Zach Ertz,PHI,TE,5.9,2.7,8.7,24.58,88,135,65.19,916,6,3.2,3.2,0.1,,,
D.K. Metcalf,SEA,WR,4.9,2.5,13.4,28.51,58,100,58,900,7,5,3.4,1.6,,,
Emmanuel Sanders,SF,WR,5.1,2.5,10.9,30.87,66,97,68.04,869,5,3.8,3.9,-0.1,,,
Calvin Ridley,ATL,WR,7.4,2.9,13.5,23.32,63,93,67.74,866,7,2.3,2.6,-0.2,,,
Tyreek Hill,KC,WR,5.9,3.2,12.6,23.86,58,89,65.17,860,7,4.9,4.2,0.7,,,
Mark Andrews,BAL,TE,6,3,10.8,28.65,63,97,64.95,854,10,4.9,4.3,0.6,,,
Jamison Crowder,NYJ,WR,6,3,7.9,24.13,78,122,63.93,833,6,4.7,3.9,0.8,,,
Randall Cobb,DAL,WR,6.2,3,9.5,14.83,55,83,66.27,828,3,6.2,4.8,1.4,,,
Larry Fitzgerald,ARI,WR,6.2,3,7.5,21.62,75,109,68.81,804,4,5.1,4.5,0.6,,,
Deebo Samuel,SF,WR,5.8,3.2,7.8,20.83,57,81,70.37,802,3,8.5,7.1,1.4,,,
Austin Hooper,ATL,TE,5.7,3.5,6.8,12.31,75,97,77.32,787,6,4.5,4.2,0.4,,,
Marvin Jones,DET,WR,6.5,2.1,13.2,22.55,62,91,68.13,779,9,2.2,2.3,-0.1,,,
Robby Anderson,NYJ,WR,4.3,2.2,15.3,36.73,52,96,54.17,779,5,3.8,3.5,0.3,,,
Cole Beasley,BUF,WR,6.1,3.2,7.6,17.92,67,106,63.21,778,6,5.3,4.8,0.5,,,
Chris Conley,JAX,WR,5,2.3,14.3,30.33,47,90,52.22,775,5,5.4,3.9,1.5,,,
Darius Slayton,NYG,WR,4.8,2.2,14.5,25.54,48,84,57.14,740,8,4,3.2,0.8,,,
Tyler Higbee,LAR,TE,6,3.7,6.5,12.12,69,89,77.53,734,3,6.1,5.8,0.3,,,
Christian Kirk,ARI,WR,6,3.5,9.5,27.13,68,108,62.96,709,3,4.4,4.5,-0.1,,,
Jared Cook,NO,TE,4.9,2.3,10.9,19.39,43,65,66.15,705,9,6.1,4.1,2,,,
Diontae Johnson,PIT,WR,6.1,3.6,9,21.87,59,92,64.13,680,5,5.1,4.6,0.4,,,
Danny Amendola,DET,WR,6.3,3,8.9,16.2,62,97,63.92,678,1,3.6,3.9,-0.2,,,
Sammy Watkins,KC,WR,5.3,2.9,9.6,18.51,52,90,57.78,673,3,5.9,5.3,0.5,,,
Will Fuller,HOU,WR,5.5,3,14,22.2,49,71,69.01,670,3,4.8,4.7,0.2,,,
Golden Tate,NYG,WR,5.7,2.2,9.5,16.95,49,85,57.65,670,6,6.1,3.6,2.5,,,
Dede Westbrook,JAX,WR,6.2,3.2,7,16.58,66,101,65.35,660,3,4.9,4.8,0.1,,,
Anthony Miller,CHI,WR,5.7,3.1,10.3,20.19,52,85,61.18,656,2,4.4,4.5,-0.1,,,
Hunter Henry,LAC,TE,5.5,2.6,10.2,15.78,55,76,72.37,652,5,3.3,3.4,-0.1,,,
Tyrell Williams,LV,WR,5,2.6,13.5,27.31,42,64,65.63,651,6,5,4.5,0.5,,,
Breshad Perriman,TB,WR,5.9,2.6,16.1,17.44,36,69,52.17,645,6,4.2,4.9,-0.7,,,
Curtis Samuel,CAR,WR,5.8,2.6,14.5,30.58,54,105,51.43,627,6,2.9,3,0,,,
Dallas Goedert,PHI,TE,5.6,3,5.8,10.47,58,86,67.44,607,5,6.2,5.2,1,,,
Hunter Renfrow,LV,WR,6.7,3.5,6.6,14.79,49,71,69.01,605,4,6.8,4.8,2,,,
Corey Davis,TEN,WR,7.2,2.7,12.3,22.32,43,69,62.32,601,2,4.9,3.3,1.6,,,
Greg Olsen,CAR,TE,5.2,2.8,8.8,14.42,52,82,63.41,597,2,4.4,4.7,-0.2,,,
Marquise Brown,BAL,WR,6.4,3,10.9,21.04,46,71,64.79,584,7,5.4,4.8,0.6,,,
Brandin Cooks,LAR,WR,6.2,3.1,13.8,20.97,42,72,58.33,583,2,4.1,3.6,0.4,,,
Sterling Shepard,NYG,WR,5.7,3.1,9.9,17.27,57,83,68.67,576,3,3.3,3.2,0.1,,,
Auden Tate,CIN,WR,5.8,2.3,11.7,19.67,40,80,50,575,1,4,2.9,1.1,,,
Mike Gesicki,MIA,TE,5.8,2.6,10.4,17.34,51,89,57.3,570,5,3.9,4,0,,,
Noah Fant,DEN,TE,5.5,2.7,7.8,15.18,40,66,60.61,562,3,8.5,6.2,2.3,,,
Kenny Stills,HOU,WR,6.2,2.7,10.7,13.09,40,55,72.73,561,4,3.7,4.5,-0.8,,,
JuJu Smith-Schuster,PIT,WR,4.9,2.4,9.6,17.74,42,70,60,552,3,6,4.3,1.7,,,
Alex Erickson,CIN,WR,6.6,2.7,8.8,14.41,43,78,55.13,529,0,5.6,4,1.6,,,
Jason Witten,DAL,TE,5.7,3.3,6.5,10.05,63,83,75.9,529,4,2.8,2.8,0,,,
Mohamed Sanu,NE,WR,5.2,3.1,7.6,12.52,59,89,66.29,520,2,3.3,3.6,-0.4,,,
John Ross,CIN,WR,5.8,2.9,14.9,17.56,28,56,50,506,3,7.4,5.6,1.9,,,
T.Y. Hilton,IND,WR,6.1,3,10.2,17.61,45,68,66.18,501,5,4.8,3.9,0.9,,,
Alshon Jeffery,PHI,WR,4.8,2.5,11.2,17.16,43,73,58.9,490,4,3.1,3.4,-0.3,,,
Allen Lazard,GB,WR,6.4,2.9,13.8,14.97,35,52,67.31,477,3,4.1,4.3,-0.2,,,
Evan Engram,NYG,TE,5.9,3.1,6,8.54,44,68,64.71,467,3,6,4.5,1.4,,,
O.J. Howard,TB,TE,5,2.5,9.4,7.84,34,53,64.15,459,1,5,4.2,0.8,,,
Marquez Valdes-Scantling,GB,WR,5.7,2.6,16.6,19.46,26,56,46.43,452,2,5.9,3.9,2,,,
Demarcus Robinson,KC,WR,5.4,3.1,13.4,15.66,32,55,58.18,449,4,3.4,3.5,-0.1,,,
Jack Doyle,IND,TE,5.4,3.5,7.1,13.02,43,72,59.72,448,4,5.4,5.3,0,,,
Jimmy Graham,GB,TE,5.6,3.9,9.2,11.56,38,60,63.33,447,3,6.8,6.2,0.6,,,
Russell Gage,ATL,WR,5.8,3.2,7.1,9.73,49,74,66.22,446,1,3.5,3.4,0.1,,,
Jonnu Smith,TEN,TE,5.9,3.7,4.8,5.62,35,44,79.55,439,3,8.4,4.6,3.8,,,
Tyler Eifert,CIN,TE,5.4,2.4,8.4,11.16,43,63,68.25,436,3,2.9,2.7,0.2,,,
Demaryius Thomas,NYJ,WR,5.8,2.5,9.9,14.32,36,58,62.07,433,1,5.1,4.5,0.6,,,
Preston Williams,MIA,WR,4.5,2.1,14.3,16.17,32,60,53.33,428,3,2.4,2.5,-0.1,,,
Josh Gordon,SEA,WR,5.4,2.4,11.4,12.09,27,47,57.45,426,1,6,5.5,0.5,,,
Ted Ginn,NO,WR,7,2.8,16.1,24.79,30,56,53.57,421,2,1.5,1.9,-0.3,,,
Adam Thielen,MIN,WR,6.4,3,12.7,17.98,30,48,62.5,418,6,4.2,3.7,0.5,,,
Jordan Akins,HOU,TE,5.8,3.4,7.2,8.81,36,55,65.45,418,2,7.1,5.2,1.9,,,
Allen Hurns,MIA,WR,6.3,3,11,9.71,32,47,68.09,416,2,3.5,4,-0.5,,,
Gerald Everett,LAR,TE,5.1,3,8.4,10.6,37,60,61.67,408,2,5,4.1,0.9,,,
Phillip Dorsett,NE,WR,5.3,2.9,13.9,16.96,29,54,53.7,397,5,3.2,4,-0.9,,,
Dawson Knox,BUF,TE,4.5,2.8,9.5,10.52,28,50,56,388,2,5.6,4.6,1,,,
Eric Ebron,IND,TE,5.8,3.2,9.4,12.38,31,52,59.62,375,3,5.4,4.4,1.1,,,
Adam Humphries,TEN,WR,5.5,2.9,7.2,8.93,37,47,78.72,374,2,3.5,3.8,-0.4,,,
T.J. Hockenson,DET,TE,5.8,2.3,8,8.85,32,59,54.24,367,2,6.4,5.6,0.8,,,
Kyle Rudolph,MIN,TE,5.6,3.4,7.1,10.02,39,48,81.25,367,6,5.2,4.6,0.5,,,
Kelvin Harmon,WAS,WR,6.4,2.4,11.4,14.09,30,44,68.18,365,0,3.4,2.8,0.6,,,
Nelson Agholor,PHI,WR,5.9,3.4,10.8,15.63,39,69,56.52,363,3,3.9,3.7,0.2,,,
Damiere Byrd,ARI,WR,5.7,3.2,9.7,11.84,32,46,69.57,359,1,4.9,3.9,1,,,
Kendrick Bourne,SF,WR,5.9,2.9,8.7,12.54,30,44,68.18,358,5,4.1,3.3,0.8,,,
Taylor Gabriel,CHI,WR,6,3.1,11.5,12.73,29,48,60.42,353,4,2.9,3.2,-0.3,,,
Albert Wilson,MIA,WR,6.9,3.5,5.2,6.02,43,62,69.35,351,1,4.3,4.3,0,,,
Jacob Hollister,SEA,TE,6.8,3.5,5.8,7.3,41,59,69.49,349,3,4.4,4.3,0.1,,,
Darren Fells,HOU,TE,5.1,2.9,5.5,5.84,34,48,70.83,341,7,5.3,4.3,1,,,
Willie Snead,BAL,WR,5.5,3,8.5,10.71,31,46,67.39,339,5,4.7,2.6,2.1,,,
Josh Reynolds,LAR,WR,6.3,2.7,11.3,10.18,21,43,48.84,326,1,6.9,5.3,1.6,,,
Nick Boyle,BAL,TE,6.2,3.6,5.9,6.9,31,43,72.09,321,2,5.2,5.1,0.1,,,
Cameron Brate,TB,TE,5.4,2.6,7.2,6.18,36,55,65.45,311,4,2.8,2.2,0.6,,,
Steven Sims,WAS,WR,6.7,3.2,7.3,11.6,34,56,60.71,310,4,5,4.4,0.6,,,
